stn;time;hto000d0;qhto000d0;mhto000d0
AIG;19840814;0;0;-
AIG;19840815;0;0;-
AIG;19840816;0;0;-
AIG;19840817;0;0;-
AIG;19840818;0;0;-
AIG;19840819;0;0;-
AIG;19840820;0;0;-
AIG;19840821;0;0;-
AIG;19840822;0;0;-
AIG;19840823;0;0;-
AIG;19840824;0;0;-
AIG;19840825;0;0;-
AIG;19840826;0;0;-
AIG;19840827;0;0;-
AIG;19840828;0;0;-
AIG;19840829;0;0;-
AIG;19840830;0;0;-
AIG;19840831;0;0;-
AIG;19840901;0;0;-
AIG;19840902;0;0;-
AIG;19840903;0;0;-
AIG;19840904;0;0;-
AIG;19840905;0;0;-
AIG;19840906;0;0;-
AIG;19840907;0;0;-
AIG;19840908;0;0;-
AIG;19840909;0;0;-
AIG;19840910;0;0;-
AIG;19840911;0;0;-
AIG;19840912;0;0;-
AIG;19840913;0;0;-
AIG;19840914;0;0;-
AIG;19840915;0;0;-
AIG;19840916;0;0;-
AIG;19840917;0;0;-
AIG;19840918;0;0;-
AIG;19840919;0;0;-
AIG;19840920;0;0;-
AIG;19840921;0;0;-
AIG;19840922;0;0;-
AIG;19840923;0;0;-
AIG;19840924;0;0;-
AIG;19840925;0;0;-
AIG;19840926;0;0;-
AIG;19840927;0;0;-
AIG;19840928;0;0;-
AIG;19840929;0;0;-
AIG;19840930;0;0;-
AIG;19841001;0;0;-
AIG;19841002;0;0;-
AIG;19841003;0;0;-
AIG;19841004;0;0;-
AIG;19841005;0;0;-
AIG;19841006;0;0;-
AIG;19841007;0;0;-
AIG;19841008;0;0;-
AIG;19841009;0;0;-
AIG;19841010;0;0;-
AIG;19841011;0;0;-
AIG;19841012;0;0;-
AIG;19841013;0;0;-
AIG;19841014;0;0;-
AIG;19841015;0;0;-
AIG;19841016;0;0;-
AIG;19841017;0;0;-
AIG;19841018;0;0;-
AIG;19841019;0;0;-
AIG;19841020;0;0;-
AIG;19841021;0;0;-
AIG;19841022;0;0;-
AIG;19841023;0;0;-
AIG;19841024;0;0;-
AIG;19841025;0;0;-
AIG;19841026;0;0;-
AIG;19841027;0;0;-
AIG;19841028;0;0;-
AIG;19841029;0;0;-
AIG;19841030;0;0;-
AIG;19841031;0;0;-
AIG;19841101;0;0;-
AIG;19841102;0;0;-
AIG;19841103;0;0;-
AIG;19841104;0;0;-
AIG;19841105;0;0;-
AIG;19841106;0;0;-
AIG;19841107;0;0;-
AIG;19841108;0;0;-
AIG;19841109;0;0;-
AIG;19841110;0;0;-
AIG;19841111;0;0;-
AIG;19841112;0;0;-
AIG;19841113;0;0;-
AIG;19841114;0;0;-
AIG;19841115;0;0;-
AIG;19841116;0;0;-
AIG;19841117;0;0;-
AIG;19841118;0;0;-
AIG;19841119;0;0;-
AIG;19841120;0;0;-
AIG;19841121;0;0;-
AIG;19841122;0;0;-
AIG;19841123;0;0;-
AIG;19841124;0;0;-
AIG;19841125;0;0;-
AIG;19841126;0;0;-
AIG;19841127;0;0;-
AIG;19841128;0;0;-
AIG;19841129;0;0;-
AIG;19841130;0;0;-
AIG;19841201;0;0;-
AIG;19841202;0;0;-
AIG;19841203;0;0;-
AIG;19841204;0;0;-
AIG;19841205;0;0;-
AIG;19841206;0;0;-
AIG;19841207;0;0;-
AIG;19841208;0;0;-
AIG;19841209;0;0;-
AIG;19841210;0;0;-
AIG;19841211;0;0;-
AIG;19841212;0;0;-
AIG;19841213;0;0;-
AIG;19841214;0;0;-
AIG;19841215;0;0;-
AIG;19841216;0;0;-
AIG;19841217;0;0;-
AIG;19841218;0;0;-
AIG;19841219;0;0;-
AIG;19841220;0;0;-
AIG;19841221;0;0;-
AIG;19841222;0;0;-
AIG;19841223;0;0;-
AIG;19841224;0;0;-
AIG;19841225;0;0;-
AIG;19841226;0;0;-
AIG;19841227;0;0;-
AIG;19841228;0;0;-
AIG;19841229;0;0;-
AIG;19841230;0;0;-
AIG;19841231;0;0;-
AIG;19850101;0;0;-
AIG;19850102;2;0;-
AIG;19850103;11;0;-
AIG;19850104;12;0;-
AIG;19850105;12;0;-
AIG;19850106;9;0;-
AIG;19850107;7;0;-
AIG;19850108;8;0;-
AIG;19850109;8;0;-
AIG;19850110;7;0;-
AIG;19850111;5;0;-
AIG;19850112;5;0;-
AIG;19850113;4;0;-
AIG;19850114;4;0;-
AIG;19850115;5;0;-
AIG;19850116;5;0;-
AIG;19850117;5;0;-
AIG;19850118;5;0;-
AIG;19850119;6;0;-
AIG;19850120;9;0;-
AIG;19850121;9;0;-
AIG;19850122;1;0;-
AIG;19850123;0;0;-
AIG;19850124;2;0;-
AIG;19850125;1;0;-
AIG;19850126;0;0;-
AIG;19850127;0;0;-
AIG;19850128;0;0;-
AIG;19850129;0;0;-
AIG;19850130;0;0;-
AIG;19850131;0;0;-
AIG;19850201;0;0;-
AIG;19850202;0;0;-
AIG;19850203;0;0;-
AIG;19850204;0;0;-
AIG;19850205;0;0;-
AIG;19850206;0;0;-
AIG;19850207;0;0;-
AIG;19850208;0;0;-
AIG;19850209;0;0;-
AIG;19850210;0;0;-
AIG;19850211;1;0;-
AIG;19850212;1;0;-
AIG;19850213;1;0;-
AIG;19850214;7;0;-
AIG;19850215;0;0;-
AIG;19850216;6;0;-
AIG;19850217;28;0;-
AIG;19850218;62;0;-
AIG;19850219;44;0;-
AIG;19850220;38;0;-
AIG;19850221;32;0;-
AIG;19850222;30;0;-
AIG;19850223;22;0;-
AIG;19850224;22;0;-
AIG;19850225;19;0;-
AIG;19850226;18;0;-
AIG;19850227;14;0;-
AIG;19850228;13;0;-
AIG;19850301;5;0;-
AIG;19850302;4;0;-
AIG;19850303;4;0;-
AIG;19850304;1;0;-
AIG;19850305;0;0;-
AIG;19850306;0;0;-
AIG;19850307;0;0;-
AIG;19850308;0;0;-
AIG;19850309;0;0;-
AIG;19850310;0;0;-
AIG;19850311;0;0;-
AIG;19850312;0;0;-
AIG;19850313;0;0;-
AIG;19850314;0;0;-
AIG;19850315;0;0;-
AIG;19850316;0;0;-
AIG;19850317;4;0;-
AIG;19850318;10;0;-
AIG;19850319;8;0;-
AIG;19850320;3;0;-
AIG;19850321;0;0;-
AIG;19850322;0;0;-
AIG;19850323;0;0;-
AIG;19850324;0;0;-
AIG;19850325;0;0;-
AIG;19850326;0;0;-
AIG;19850327;0;0;-
AIG;19850328;0;0;-
AIG;19850329;0;0;-
AIG;19850330;0;0;-
AIG;19850331;0;0;-
AIG;19850401;0;0;-
AIG;19850402;0;0;-
AIG;19850403;0;0;-
