Noreleve	X	Y	ddeg	mind	srad	slp	topo	Clinopodium_vulgare	Pedicularis_foliosa	Viola_hirta	Gypsophila_repens	Acinos_alpinus	Salix_herbacea	Linaria_alpina_sstr	Carex_sylvatica	Gentiana_acaulis	Cirsium_palustre	Sedum_atratum	Euphrasia_salisburgensis	Cruciata_laevipes	Hedysarum_hedysaroides	Centaurea_montana	Vaccinium_vitis.idaea	Hieracium_villosum_aggr	Polygala_chamaebuxus	Campanula_barbata	Arabis_alpina_sl	Carex_caryophyllea	Agrostis_stolonifera	Carex_nigra	Cardamine_pratensis	Pimpinella_saxifraga_aggr	Festuca_ovina_aggr	Galium_megalospermum	Glechoma_hederacea_sstr	Androsace_chamaejasme	Thesium_alpinum	Adenostyles_glabra	Geum_rivale	Saxifraga_moschata_sl	Laserpitium_latifolium	Agrostis_rupestris	Senecio_doronicum	Veronica_alpina	Veronica_arvensis	Poa_minor	Valeriana_montana	Crepis_biennis	Ranunculus_aconitifolius	Ranunculus_repens	Veronica_aphylla	Solidago_virgaurea_sl	Vaccinium_gaultherioides	Cirsium_spinosissimum	Fraxinus_excelsior	Cirsium_acaule	Parnassia_palustris	Arnica_montana	Rumex_alpestris	Acer_pseudoplatanus	Silene_acaulis	Picea_abies	Knautia_arvensis	Polygala_alpestris	Gentiana_verna	Viola_biflora	Hieracium_bifidum_aggr	Bellis_perennis	Tragopogon_pratensis_sl	Plantago_major_sl	Myosotis_alpestris	Luzula_campestris	Phleum_hirsutum	Cerastium_latifolium	Luzula_sylvatica	Helictotrichon_versicolor	Leontodon_autumnalis	Hypochaeris_radicata	Leontodon_helveticus	Thlaspi_repens	Potentilla_crantzii	Galium_pumilum	Calamagrostis_varia	Alchemilla_coriacea_aggr	Alchemilla_glabra_aggr	Centaurea_jacea_sstr	Stellaria_graminea	Trifolium_thalii	Medicago_lupulina	Polygonum_bistorta	Pritzelago_alpina_sstr	Campanula_rotundifolia	Dryas_octopetala	Trifolium_badium	Geum_montanum	Hippocrepis_comosa	Phleum_pratense	Saxifraga_oppositifolia	Daucus_carota	Vicia_cracca_sstr	Ranunculus_bulbosus	Gentiana_purpurea	Dactylorhiza_fuchsii	Ranunculus_alpestris	Saxifraga_paniculata	Prunella_grandiflora	Helictotrichon_pubescens	Primula_veris_sl	Polygala_vulgaris_sl	Trifolium_medium	Veratrum_album_subsp_lobelianum	Veronica_serpyllifolia_sl	Luzula_multiflora	Gentiana_lutea	Carex_montana	Hieracium_murorum_aggr	Vaccinium_myrtillus	Thymus_praecox_subsp_polytrichus	Pulsatilla_alpina_sl	Phyteuma_spicatum	Poa_pratensis	Hypericum_maculatum_sl	Gentiana_campestris_sstr	Vicia_sepium	Crepis_pyrenaica	Brachypodium_pinnatum	Carlina_acaulis_subsp_caulescens	Saxifraga_aizoides	Carex_ferruginea	Campanula_rhomboidalis	Campanula_cochleariifolia	Euphorbia_cyparissias	Linum_catharticum	Rhinanthus_alectorolophus	Salix_retusa	Primula_elatior_sstr	Galium_album	Silene_vulgaris_sl	Arrhenatherum_elatius	Festuca_quadriflora	Knautia_dipsacifolia_sstr	Bromus_erectus_sstr	Sanguisorba_minor_sl	Heracleum_sphondylium_sl	Crepis_aurea	Crocus_albiflorus	Carex_pallescens	Carduus_defloratus_sl	Aposeris_foetida	Bartsia_alpina	Selaginella_selaginoides	Hieracium_lactucella	Thymus_pulegioides_sstr	Chaerophyllum_hirsutum_aggr	Festuca_violacea_aggr	Plantago_media	Carum_carvi	Plantago_atrata_sstr	Phyteuma_orbiculare	Lolium_perenne	Pimpinella_major	Nardus_stricta	Helianthemum_nummularium_sl	Aster_bellidiastrum	Holcus_lanatus	Deschampsia_cespitosa	Achillea_millefolium	Euphrasia_minima	Astrantia_major	Carex_flacca	Trollius_europaeus	Phleum_rhaeticum	Plantago_alpina	Alchemilla_conjuncta_aggr	Ajuga_reptans	Scabiosa_lucida	Ranunculus_nemorosus_aggr	Poa_trivialis_sl	Ligusticum_mutellina	Anthyllis_vulneraria_sl	Briza_media	Alchemilla_vulgaris_aggr	Trisetum_flavescens	Lathyrus_pratensis	Potentilla_aurea	Sesleria_caerulea	Soldanella_alpina	Homogyne_alpina	Potentilla_erecta	Rumex_acetosa	Poa_alpina	Cerastium_fontanum_sl	Galium_anisophyllon	Ranunculus_montanus_aggr	Polygonum_viviparum	Cynosurus_cristatus	Festuca_pratensis_sl	Carex_sempervirens	Prunella_vulgaris	Campanula_scheuchzeri	Alchemilla_xanthochlora_aggr	Veronica_chamaedrys	Geranium_sylvaticum	Leucanthemum_vulgare_aggr	Taraxacum_officinale_aggr	Plantago_lanceolata	Agrostis_capillaris	Ranunculus_acris_sl	Trifolium_repens_sstr	Dactylis_glomerata	Leontodon_hispidus_sl	Lotus_corniculatus_aggr	Anthoxanthum_odoratum_aggr	Trifolium_pratense_sl	Festuca_rubra_aggr
11	564607.9	133295.2	1957	-284	197503	12	-48	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	580497.4	127198.7	962	1860	267871	27	-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	580303.3	151997.1	1535	765	179650	15	-135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1
14	580706.3	127198.4	937	2416	267917	52	-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
15	570801.2	135749.7	1787	-132	230743	8	-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1
16	566900.2	135795.4	953	1271	272205	40	-177	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1
17	578000.1	127403.4	1275	1086	274274	33	-133	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
18	573301.2	143804.4	1647	685	163842	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1
19	567801.5	142493.6	1736	562	172162	14	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0
20	578799.6	123597.1	915	2105	164319	7	-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
